femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,,incidentBeginDate,incidentEndDate,fipsCountyCode,placeCode,designatedArea,,,,,
FM-5371-OR,5371,OR,FM,2020-09-10T00:00:00.000Z,2020,Fire,CHEHALEM MOUNTAIN BALD PEAK FIRE,,2020-09-08T00:00:00.000Z,2020-09-15T00:00:00.000Z,67,99067,Washington (County),,,,,
FM-5371-OR,5371,OR,FM,2020-09-10T00:00:00.000Z,2020,Fire,CHEHALEM MOUNTAIN BALD PEAK FIRE,,2020-09-08T00:00:00.000Z,2020-09-15T00:00:00.000Z,71,99071,Yamhill (County),,,,,
FM-5370-OR,5370,OR,FM,2020-09-10T00:00:00.000Z,2020,Fire,CLAKAMAS COUNTY FIRE COMPLEX,,2020-09-08T00:00:00.000Z,2020-10-06T00:00:00.000Z,5,99005,Clackamas (County),,,,,
FM-5369-OR,5369,OR,FM,2020-09-10T00:00:00.000Z,2020,Fire,SLATER FIRE,,2020-09-09T00:00:00.000Z,2020-11-03T00:00:00.000Z,33,99033,Josephine (County),,,,,
FM-5368-OR,5368,OR,FM,2020-09-10T00:00:00.000Z,2020,Fire,PIKE ROAD FIRE,,2020-09-08T00:00:00.000Z,2020-09-14T00:00:00.000Z,57,99057,Tillamook (County),,,,,
FM-5366-OR,5366,OR,FM,2020-09-09T00:00:00.000Z,2020,Fire,RIVERSIDE FIRE,,2020-09-08T00:00:00.000Z,2020-10-15T00:00:00.000Z,5,99005,Clackamas (County),,,,,
FM-5365-OR,5365,OR,FM,2020-09-09T00:00:00.000Z,2020,Fire,ARCHIE CREEK FIRE,,2020-09-08T00:00:00.000Z,2020-10-15T00:00:00.000Z,19,99019,Douglas (County),,,,,
FM-5364-OR,5364,OR,FM,2020-09-09T00:00:00.000Z,2020,Fire,ALMEDA GLENDOWER FIRE,,2020-09-08T00:00:00.000Z,2020-09-15T00:00:00.000Z,29,99029,Jackson (County),,,,,
FM-5363-CA,5363,CA,FM,2020-09-09T00:00:00.000Z,2020,Fire,BEAR FIRE,,2020-08-17T00:00:00.000Z,,7,99007,Butte (County),,,,,
FM-5363-CA,5363,CA,FM,2020-09-09T00:00:00.000Z,2020,Fire,BEAR FIRE,,2020-08-17T00:00:00.000Z,,63,99063,Plumas (County),,,,,
FM-5363-CA,5363,CA,FM,2020-09-09T00:00:00.000Z,2020,Fire,BEAR FIRE,,2020-08-17T00:00:00.000Z,,115,99115,Yuba (County),,,,,
FM-5362-OR,5362,OR,FM,2020-09-09T00:00:00.000Z,2020,Fire,ECHO MOUNTAIN FIRE COMPLEX,,2020-09-08T00:00:00.000Z,2020-09-22T00:00:00.000Z,41,99041,Lincoln (County),,,,,
FM-5361-CA,5361,CA,FM,2020-09-09T00:00:00.000Z,2020,Fire,SLATER FIRE,,2020-09-08T00:00:00.000Z,,93,99093,Siskiyou (County),,,,,
FM-5360-WA,5360,WA,FM,2020-09-09T00:00:00.000Z,2020,Fire,SUMNER GRADE FIRE,,2020-09-08T00:00:00.000Z,2020-09-15T00:00:00.000Z,53,99053,Pierce (County),,,,,
FM-5359-WA,5359,WA,FM,2020-09-09T00:00:00.000Z,2020,Fire,BORDEAUX ROAD FIRE,,2020-09-08T00:00:00.000Z,2020-09-11T00:00:00.000Z,67,99067,Thurston (County),,,,,
FM-5358-OR,5358,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,POWERLINE FIRE,,2020-09-08T00:00:00.000Z,2020-09-14T00:00:00.000Z,67,99067,Washington (County),,,,,
FM-5356-OR,5356,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,0,78650,Warm Springs Indian Reservation,,,,,
FM-5356-OR,5356,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,5,99005,Clackamas (County),,,,,
FM-5356-OR,5356,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,31,99031,Jefferson (County),,,,,
FM-5356-OR,5356,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,43,99043,Linn (County),,,,,
FM-5356-OR,5356,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,BEACHIE CREEK LIONSHEAD FIRE COMPLEX,,2020-09-07T00:00:00.000Z,2020-10-15T00:00:00.000Z,47,99047,Marion (County),,,,,
FM-5355-WA,5355,WA,FM,2020-09-08T00:00:00.000Z,2020,Fire,BABB FIRE,,2020-09-07T00:00:00.000Z,2020-09-15T00:00:00.000Z,63,99063,Spokane (County),,,,,
FM-5355-WA,5355,WA,FM,2020-09-08T00:00:00.000Z,2020,Fire,BABB FIRE,,2020-09-07T00:00:00.000Z,2020-09-15T00:00:00.000Z,75,99075,Whitman (County),,,,,
FM-5354-OR,5354,OR,FM,2020-09-08T00:00:00.000Z,2020,Fire,TWO FOUR TWO FIRE,,2020-09-07T00:00:00.000Z,2020-09-23T00:00:00.000Z,35,99035,Klamath (County),,,,,
FM-5353-UT,5353,UT,FM,2020-09-07T00:00:00.000Z,2020,Fire,ETHER HOLLOW FIRE,,2020-09-07T00:00:00.000Z,2020-09-12T00:00:00.000Z,49,99049,Utah (County),,,,,
FM-5352-WA,5352,WA,FM,2020-09-07T00:00:00.000Z,2020,Fire,APPLE ACRES FIRE,,2020-09-07T00:00:00.000Z,2020-09-15T00:00:00.000Z,7,99007,Chelan (County),,,,,
FM-5351-WA,5351,WA,FM,2020-09-07T00:00:00.000Z,2020,Fire,COLD SPRINGS/PEARL HILL FIRE,,2020-09-07T00:00:00.000Z,2020-09-19T00:00:00.000Z,0,14240,Colville Indian Reservation,,,,,
